round,gamma,n_all,mean_all,n_success,mean_success,n_failure,mean_failure
0,0.1,50,0.069224452625367,50,0.069224452625367,0,
0,0.2,50,0.014547173091986425,38,0.02107518573503509,12,-0.006124866944334356
0,0.3,50,0.0014449808962072464,17,0.01848748617960246,33,-0.007334491522511499
0,0.4,50,0.00043025205170702684,18,0.015055559737722787,32,-0.007796483521676837
0,0.5,50,0.007237095935241525,20,0.026322584611285244,30,-0.0054865631821209545
0,0.7,50,0.010281490049488884,29,0.02159427492828547,21,-0.005340927164087353
0,1.0,50,0.01636873181047975,29,0.030894289296294192,21,-0.0036903713842163814
0,pooled,350,0.017076310922925407,201,0.03430839345408184,149,-0.006169652760044011
19,0.1,50,0.05412837365825917,48,0.05649235019917035,2,-0.002607063323609382
19,0.2,50,0.07427532566394636,50,0.07427532566394636,0,
19,0.3,50,0.05308520194490621,50,0.05308520194490621,0,
19,0.4,50,0.04955701583438035,48,0.051677579382971135,2,-0.0013365093317985743
19,0.5,50,0.05450884556300167,49,0.055651026506536604,1,-0.0014580206702103915
19,0.7,50,0.054977681537595906,48,0.05749470882224241,2,-0.005430973293920172
19,1.0,50,0.04927703341172146,43,0.05793664863217669,7,-0.003917745799646465
19,pooled,350,0.055687068230544444,336,0.05814912266028852,14,-0.003402238083313707
20,0.1,50,0.04909099576696931,45,0.054879736618134445,5,-0.00300767189351685
20,0.2,50,0.0743735047263212,50,0.0743735047263212,0,
20,0.3,50,0.053864776081379996,50,0.053864776081379996,0,
20,0.4,50,0.050797384000999236,48,0.053062844511247494,2,-0.0035736682449589163
20,0.5,50,0.05589447797265751,50,0.05589447797265751,0,
20,0.7,50,0.057317831979115025,49,0.058592214455496006,1,-0.005126909363552978
20,1.0,50,0.04880211209032887,45,0.05466208583364376,5,-0.003937651599505254
20,pooled,350,0.0557344403739673,337,0.058023902059961836,13,-0.0036154510245062564
